Ordem,País,Ouro,Prata,Bronze,Total
1,Estados Unidos,46,46,65,157
2,Austrália,42,37,27,106
3,Alemanha,40,58,51,149
4,Reino Unido,39,42,41,122
5,Espanha,39,31,36,106
6,França,35,29,31,95
7,Canadá,24,21,24,69
8,Países Baixos,17,11,17,45
9,China,16,13,10,39
10,Japão,14,10,12,36
11,Polónia,13,14,8,35
12,Coreia do Sul,13,2,15,30
13,Suécia,12,14,10,36
14,Itália,11,20,15,46
15,África do Sul,10,8,10,28
16,Rússia,9,7,11,27
17,Noruega,9,7,4,20
18,Suíça,9,6,6,21
19,Nova Zelândia,9,6,3,18
20,Irão,9,5,3,17
21,Egito,8,11,11,30
22,Bélgica,8,10,7,25
23,Cuba,8,3,0,11
24,Dinamarca,7,17,17,41
25,Áustria,6,6,10,22
26,POR Portugal,6,4,4,14
27,Hong Kong,5,5,5,15
28,Islândia,5,4,5,14
29,Hungria,5,2,3,10
30,Finlândia,4,5,4,13
31,México,3,5,4,12
32,Estónia,3,4,2,9
33,Bielorrússia,3,3,7,13
34,Lituânia,3,2,6,11
35,Níger,3,2,3,8
36,Chéquia,2,7,1,10
37,Brasil,2,6,13,21
38,Argentina,2,5,2,9
39,Eslováquia,2,4,5,11
40,Argélia,2,2,3,7
