País,Número de participações
ASA Samoa Americana,10
AND Andorra,13
ANG Angola,11
ANT Antígua e Barbuda,12
ARU Aruba,10
BAN Bangladesh,11
BIZ Belize,14
BEN Benim,13
BHU Butão,11
BOL Bolívia,16
BIH Bósnia e Herzegovina,9
IVB Ilhas Virgens Britânicas,11
BRU Brunei,7
CAM Camboja,11
CPV Cabo Verde,7
CAY Ilhas Cayman,12
CAF República Centro-Africana,12
CHA Chade,14
COM Comores,8
CGO Congo,14
COD República Democrática do Congo,12
COK Ilhas Cook,10
ESA El Salvador,13
SWZ Essuatíni,12
GEQ Guiné Equatorial,11
GAM Gâmbia,11
GUM Guam,10
GUI Guiné,13
GBS Guiné-Bissau,8
HON Honduras,13
KIR Quiribáti,6
LAO Laos,11
LES Lesoto,13
LBR Libéria,14
LBA Líbia,12
MAD Madagascar,14
MAW Malawi,12
MDV Maldivas,10
MLI Mali,15
MLT Malta,18
MHL Ilhas Marshall,5
MTN Mauritânia,11
FSM Estados Federados da Micronésia,7
MON Mônaco,22
MYA Mianmar,19
NRU Nauru,8
NEP Nepal,15
NCA Nicarágua,14
OMA Omã,11
PLW Palau,7
PLE Palestina,8
PNG Papua-Nova Guiné,12
RWA Ruanda,11
SKN São Cristóvão e Neves,8
VIN São Vicente e Granadinas,10
STP São Tomé e Príncipe,8
SEY Seicheles,11
SLE Serra Leoa,13
SOL Ilhas Salomão,11
SOM Somália,11
SSD Sudão do Sul,3
TLS Timor-Leste,6
TUV Tuvalu,5
VAN Vanuatu,10
YEM Iêmen,9
COR Coreia,0
MAL Malaia,2
NBO Bornéu do Norte,1
ROC República da China,3
SAA Sarre,1
YAR Iêmen do Norte,2
YMD Iêmen do Sul,1
