País,Total,NOC
Alemanha,1550,GER
Angola,8,ANG
Argentina,165,ARG
Argélia,85,ALG
Arábia Saudita,5,KSA
Atletas Paralímpicos Neutros,0,NPA
Austrália,1205,AUS
Azerbaijão,57,AZE
Bahamas,5,BAH
Barém,10,BRN
Bielorrússia,106,BLR
Botsuana,1,BOT
Brasil,373,BRA
Bulgária,15,BUL
Bélgica,271,BEL
Bósnia e Herzegovina,6,BIH
Cabo Verde,1,CPV
Canadá,1080,CAN
Catar,3,QAT
Cazaquistão,7,KAZ
Checoslováquia,17,TCH
Chile,7,CHI
China,1237,CHN
Chipre,8,CYP
Chéquia,137,CZE
Colômbia,47,COL
Coreia do Sul,365,KOR
Costa Rica,2,CRC
Costa do Marfim,4,CIV
Croácia,26,CRO
Cuba,92,CUB
Dinamarca,282,DEN
Egito,150,EGY
El Salvador,1,ESA
Emirados Árabes Unidos,19,UAE
Equador,3,ECU
Equipa Unificada,51,EUN
Eslováquia,70,SVK
Eslovênia,21,SLO
Espanha,700,ESP
Estados Unidos,2283,USA
Estônia,19,EST
Etiópia,3,ETH
Fiji,1,FIJ
Filipinas,2,PHI
Finlândia,279,FIN
França,1092,FRA
Geórgia,4,GEO
Grã-Bretanha,1914,GBR
Grécia,105,GRE
Guatemala,2,GUA
Hong Kong,115,HKG
Hungria,157,HUN
Ilhas Faroé,13,FRO
Indonésia,27,INA
Iraque,16,IRQ
Irlanda,233,IRL
Irã,160,IRI
Islândia,61,ISL
Israel,384,ISR
Itália,665,ITA
Iugoslávia,70,YUG
Jamaica,54,JAM
Japão,424,JPN
Jordânia,16,JOR
Kuwait,45,KUW
Laos,1,LAO
Letônia,20,LAT
Liechtenstein,0,LIE
Lituânia,36,LTU
Luxemburgo,7,LUX
Líbano,2,LBN
Líbia,1,LBA
Macedônia do Norte,2,MKD
Malta,9,MLT
Malásia,16,MAS
Marrocos,39,MAR
Mianmar,7,MYA
Moldávia,2,MDA
Mongólia,2,MGL
Montenegro,1,MNE
Moçambique,1,MOZ
México,310,MEX
Namíbia,10,NAM
Nigéria,80,NGR
Noruega,317,NOR
Nova Zelândia,201,NZL
Omã,1,OMA
Palestina,3,PLE
Panamá,8,PAN
Papua-Nova Guiné,1,PNG
Paquistão,3,PAK
Participantes Paralímpicos Independentes,8,IPP
Países Baixos,808,NED
Peru,9,PER
Polônia,754,POL
Porto Rico,7,PUR
Portugal,104,POR
Quênia,48,KEN
RPC,116,RPC
República Dominicana,10,DOM
Rodésia,54,RHO
Romênia,29,ROU
Ruanda,1,RWA
Rússia,268,RUS
Singapura,11,SIN
Sri Lanka,4,SRI
Sudão,1,SUD
Suécia,646,SWE
Suíça,296,SUI
Sérvia,22,SRB
Sérvia e Montenegro,2,SCG
Síria,1,SYR
Tailândia,87,THA
Taipé Chinesa,23,TPE
Trinidad e Tobago,6,TTO
Tunísia,94,TUN
Turquia,38,TUR
Ucrânia,472,UKR
Uganda,2,UGA
União Soviética,55,URS
Uruguai,15,URU
Uzbequistão,51,UZB
Venezuela,24,VEN
Vietnã,5,VIE
Zimbabwe,17,ZIM
África do Sul,304,RSA
Áustria,372,AUT
Índia,31,IND
